Name,Link,Ingredients,Main Spirit,Flavor,Rating,Ratings Count
Espresso Martini,https://www.thecocktailproject.com/Espresso-Martini,"EFFEN Original Vodka, Coffee Liqueur, EFFEN Original Vodka, Coffee Liqueur, Espresso, Better With Bitters",Vodka,Sweet,3,37
French 75,https://www.thecocktailproject.com/French-75,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Champagne, Lemon Twist",Gin,Refreshing,0,0
Last Word,https://www.thecocktailproject.com/Last-Word,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Maraschino Liqueur, Green Chartreuse Liqueur",Gin,Sour,3,27
Tom Collins,https://www.thecocktailproject.com/Tom-Collins,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Club Soda, Orange Slice",Gin,Refreshing,3,37
Tokyo Collins,https://www.thecocktailproject.com/Tokyo-Collins,"Suntory Roku Gin, Lemon Juice, Suntory Roku Gin, Lemon Juice, Simple Syrup, Club Soda",Gin,Refreshing,3,27
Gin Basil Smash,https://www.thecocktailproject.com/drink-recipes/gin-basil-smash,"Sipsmith London Dry Gin, Simple Syrup, Sipsmith London Dry Gin, Simple Syrup, Lemon Juice, Variations of the Classic Martini",Gin,Refreshing,3,36
Japanese Gin Sour,https://www.thecocktailproject.com/Japanese-Gin-Sour,"Suntory Roku Gin, Lime Juice, Suntory Roku Gin, Lime Juice, Simple Syrup",Gin,Sour,3,38
Gimlet,https://www.thecocktailproject.com/drink-recipes/gimlet,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Simple Syrup",Gin,Sour,3,32
Kentucky Mule,https://www.thecocktailproject.com/Kentucky-Mule,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Fresh Fruit",Bourbon,Refreshing,3,30
Vesper,https://www.thecocktailproject.com/Vesper,"Suntory Haku Vodka, Suntory Roku Gin, Suntory Haku Vodka, Suntory Roku Gin, Lillet Blanc, Lemon Peel",Vodka,Refreshing,4,23
Sazerac,https://www.thecocktailproject.com/Sazerac,"Courvoisier VS Cognac, Simple Syrup, Courvoisier VS Cognac, Simple Syrup, Peychaud's Bitters, Absinthe",Cognac,Sweet,3,19
Bees Knees,https://www.thecocktailproject.com/Bees-Knees,"Sipsmith London Dry Gin, Honey Syrup, Sipsmith London Dry Gin, Honey Syrup, Lemon Juice, Lemon Twist, Variations of the Classic Martini",Gin,Sweet,3,43
Jim Beam and Ginger Highball,https://www.thecocktailproject.com/drink-recipes/jim-beam-ginger-highball,"Jim Beam Original, Fever-Tree Ginger Ale, Jim Beam Original, Fever-Tree Ginger Ale, Lemon Wedge",Bourbon,N/A,3,32
