Name,Color
Espresso Martini,['brown']
Sazerac,['brown']
Jim Beam and Ginger Highball,['brown']
Smoked Maple Old Fashioned,['brown']
Basil Hayden's Golden Hour,['brown']
CC Ginger Ale,['brown']
Legent Sea 'New' Fashioned,['brown']
Knob Creek Rye Old Fashioned,['brown']
C.C. & Cola,['brown']
Kilbeggan Irish Coffee,['brown']
Cruzan Safe Harbor,['brown']
SQRRL Carajillo,['brown']
SQRRL PB Manhattan,['brown']
Maker's Mark Gold Rush,['brown']
Legent Blossom Old Fashioned,['brown']
Knob Creek Old Fashioned,['brown']
Pinnacle Peppermint Hot Chocolate,['brown']
Cruzan Coquito,['brown']
Pumpkin Spice White Russian,['brown']
Au-Kee-Ta,['brown']
Bobby Burns,['brown']
Rob Roy,['brown']
Beer & Loathing,['brown']
Berry White,['brown']
It’s Bitter to Be Hoppy,['brown']
Laphroaig Land and Sea,['brown']
Laphroaig Back Yard Collins,['brown']
Jim Beam Black Hot Toddy,['brown']
Hot Buttery Barrel,['brown']
Courvoisier Classic,['brown']
Louisville Skyline,['brown']
Basil Hayden’s Classic Manhattan,['brown']
Spiced Cherry Sipper,['brown']
Spiced Cocoa,['brown']
Pumpkin Bourbon Cider,['brown']
Dry Rye Manhattan,['brown']
C.C. & Ginger,['brown']
Tree Trimmer,['brown']
Beam & Hops,['brown']
Rye in Paradise,['brown']
Chili Chocolate Orange,['brown']
Crusta,['brown']
Courvoisier Sidecar,['brown']
A Warm Welcome,['brown']
Harbor Punch,['brown']
Kentucky Sweet Tea,"['brown', 'brown']"
DeKuyper Fuzzy Beam,"['brown', 'brown']"
Old '97,"['brown', 'brown']"
Jimmy's Chocolate,['brown']
Kentucky Joe,['brown']
Journeyman,['brown']
Jim Rickey,['brown']
Apple 'N' Rye,['brown']
Honey Toddy,['brown']
Fireside Coco,['brown']
Fire Drop,['brown']
Jim Beam Manhattan,['brown']
Dernier Cri,['brown']
Jim Beam Orleans,['brown']
Dancing with the Devil,['brown']
Jimmy's Best,['brown']
Front Porch Peach Tea,['brown']
Apple Highball,['brown']
Cuba Libre,['brown']
Mudslide,['brown']
Bourbon Cider Cocktail,['brown']
Bourbon Bonn Bonn,['brown']
Apricot Sage Bourbon Cocktail,['brown']
Bardstown Sling,['brown']
Blucumber Fizz,['brown']
Dragons Toe,['brown']
Maker's Mark & Ginger,['brown']
Maker's Mark and Kumquat Marmalade,['brown']
Maker's Mark Collins,['brown']
Maker's Mark Presbyterian,['brown']
Maker's Mark Redhead,['brown']
Maker's Mark Sour,['brown']
Maker's Mark Summer Breeze,['brown']
Maker's Mash,['brown']
The Lion & The Lamb,['brown']
Apple Manhattan,['brown']
Citrus Basil Manhattan,['brown']
Dram Sour,['brown']
Maker's Mark Manhattan,['brown']
Oh Henry,['brown']
"Maker's Mark  
  Mint Julep",['brown']
Maker's Mark Mojito,['brown']
Whisky Smash,['brown']
Fancy Bourbon Punch,['brown']
La Mela,['brown']
Old Fashioned,['brown']
The Chee Chee,['brown']
The Fiscal Agent,['brown']
Kentucky Coffee,['brown']
Yuzu Toddy,['brown']
Midori Cider,['brown']
Peanut Butter Cup Martini,['brown']
Root Beer Freeze,['brown']
Spicy Hot Chocolate,['brown']
Long Island Iced Tea,['brown']
Chocolate Martini,['brown']
Buttershots™ Slide,['brown']
Classic Manhattan,['brown']
Christmas Mint Kiss,['brown']
Peach Whiskey Sour,['brown']
Fall Sangria,['brown']
Pumpkin Pie Martini,['brown']
Razzmatazz Truffle Martini,['brown']
Red Velvet Cake Martini,['brown']
Banana Cinnamon Mojito,['brown']
Strawberry Mai Tai,['brown']
Hot Buttered Spiced Rum,['brown']
Coconut Old Fashioned,['brown']
Chocolate Covered Cherry,['brown']
Take 9,['brown']
Maple Leaf,['brown']
New Fashioned,['brown']
Hats Off Julep,['brown']
Hornitos Black Barrel Tequila Old Fashioned,['brown']
Horchata,['brown']
Death and Taxes,['brown']
Mexican Mule,['brown']
Peppermint Hot Chocolate,['brown']
Mocha Razz-Tini,['brown']
Peach Iced Tea,['brown']
Sunset Tea,['brown']
French 75,['yellow']
Gimlet,"['yellow', 'yellow']"
Bee's Knees,['yellow']
Kentucky Made,['yellow']
Ginger Buck,['yellow']
Mai Tai,['yellow']
CV The French Twist,['yellow']
Sipsmith Martini,['yellow']
Courvoisier Gala,['yellow']
SQRRL Top Banana,['yellow']
Still Steam,['yellow']
Kilbeggan Brosna Sour,['yellow']
Gingerbread Sour,['yellow']
Gin Basil Smash,"['yellow', 'green']"
Yellowhammer,['yellow']
Black & Gold,['yellow']
Glasgow Seelbach,['yellow']
Sauza Cilantro Jalapeno Margarita,['yellow']
EFFEN Blood Orange Mimosa,['yellow']
Buttershots Old Fashioned,['yellow']
Rye Opener,['yellow']
Rye Squeeze,['yellow']
Laphroaig Penicillin,['yellow']
Cruzan Mai Tai,['yellow']
Derby Fizz,['yellow']
Pineapple Crush,['yellow']
Derby Spritzer,['yellow']
Banana ‘Nana Daiquiri,['yellow']
Sparkling Cherry Sangria,['yellow']
Everblooming Fizz,['yellow']
Spicy Cucumber Margarita,['yellow']
David Beams 1838 Cocktail,['yellow']
Tropical Spice,['yellow']
Cognac Summit,['yellow']
Shining Light Spice,['yellow']
Guava Spice,['yellow']
Limonlicious,['yellow']
Samba Margarita,['yellow']
Vodka Lemonade,['yellow']
Crisp Apple Ade,['yellow']
Black Mule,['yellow']
Passion Car,['yellow']
First Class,['yellow']
Sparkling Cognac,['yellow']
Apri Diem,['yellow']
Stars & Stripes Spiced Ice,['yellow']
Beam Ade,['yellow']
Honey Apple Cucumber,['yellow']
The Rider,['yellow']
Red Stag Half & Half,['yellow']
Vodka Collins,['yellow']
Mango Rum Margarita,['yellow']
Kentucky Bubbly,['yellow']
Peach Lemonade Spritzer,['yellow']
Jim Beam Lemonade,['yellow']
Pina Punch,['yellow']
Nectarita,['yellow']
Spring Sangria,['yellow']
Lazy Day Colada,['yellow']
Apple Colada,['yellow']
Bahama Mama,['yellow']
Midori Cactus Juice,['yellow']
Alligator's Kiss,['yellow']
Mango Mojito,['yellow']
Rum Breeze,['yellow']
Pineapple Smash,['yellow']
Hot Toddy,['yellow']
Cruzan 9 Tea,['yellow']
Passion Fruit Passport,['yellow']
Weekenders' Punch,['yellow']
Nil Fashioned,['yellow']
Delusion,['yellow']
Cruzan Banana Split,['yellow']
Cruzan Colada,['yellow']
