Name,Link,Ingredients_x,Main Spirit,Flavor,Rating,Ratings Count,Ingredients_y,Color,Occasion
Espresso Martini,https://www.thecocktailproject.com/Espresso-Martini,"EFFEN Original Vodka, Coffee Liqueur, EFFEN Original Vodka, Coffee Liqueur, Espresso, Better With Bitters",Vodka,Sweet,3,37,"EFFEN Original Vodka, Coffee Liqueur, EFFEN Original Vodka, Coffee Liqueur, Espresso, Better With Bitters",['brown'],"['birthday', 'fall', 'new-years', 'winter']"
French 75,https://www.thecocktailproject.com/French-75,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Champagne, Lemon Twist",Gin,Refreshing,0,0,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Champagne, Lemon Twist",['yellow'],"['birthday', 'holiday', 'new-years', 'wedding']"
Last Word,https://www.thecocktailproject.com/Last-Word,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Maraschino Liqueur, Green Chartreuse Liqueur",Gin,Sour,3,27,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Maraschino Liqueur, Green Chartreuse Liqueur",['green'],"['spring', 'summer']"
Tom Collins,https://www.thecocktailproject.com/Tom-Collins,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Club Soda, Orange Slice",Gin,Refreshing,3,37,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Club Soda, Orange Slice",['clear'],"['bbq', 'brunch', 'spring', 'summer']"
Tokyo Collins,https://www.thecocktailproject.com/Tokyo-Collins,"Suntory Roku Gin, Lemon Juice, Suntory Roku Gin, Lemon Juice, Simple Syrup, Club Soda",Gin,Refreshing,3,27,"Suntory Roku Gin, Lemon Juice, Suntory Roku Gin, Lemon Juice, Simple Syrup, Club Soda",['clear'],"['bbq', 'brunch', 'spring', 'summer']"
Gin Basil Smash,https://www.thecocktailproject.com/drink-recipes/gin-basil-smash,"Sipsmith London Dry Gin, Simple Syrup, Sipsmith London Dry Gin, Simple Syrup, Lemon Juice, Variations of the Classic Martini",Gin,Refreshing,3,36,"Sipsmith London Dry Gin, Simple Syrup, Sipsmith London Dry Gin, Simple Syrup, Lemon Juice, Variations of the Classic Martini","['yellow', 'green']","['bbq', 'brunch', 'summer']"
Japanese Gin Sour,https://www.thecocktailproject.com/Japanese-Gin-Sour,"Suntory Roku Gin, Lime Juice, Suntory Roku Gin, Lime Juice, Simple Syrup",Gin,Sour,3,38,"Suntory Roku Gin, Lime Juice, Suntory Roku Gin, Lime Juice, Simple Syrup",['orange'],"['fall', 'summer', 'winter']"
Gimlet,https://www.thecocktailproject.com/drink-recipes/gimlet,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Simple Syrup",Gin,Sour,3,32,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Simple Syrup",['yellow'],"['birthday', 'brunch', 'spring', 'summer']"
Kentucky Mule,https://www.thecocktailproject.com/Kentucky-Mule,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Fresh Fruit",Bourbon,Refreshing,3,30,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Fresh Fruit",['orange'],"['bbq', 'brunch', 'spring', 'summer']"
Vesper,https://www.thecocktailproject.com/Vesper,"Suntory Haku Vodka, Suntory Roku Gin, Suntory Haku Vodka, Suntory Roku Gin, Lillet Blanc, Lemon Peel",Vodka,Refreshing,4,23,"Suntory Haku Vodka, Suntory Roku Gin, Suntory Haku Vodka, Suntory Roku Gin, Lillet Blanc, Lemon Peel",['clear'],"['fall', 'spring', 'summer', 'winter']"
