"Name","Link","Ingredients","Main Spirit","Flavor","Rating","Ratings Count","Color","Occasion"
"Espresso Martini","https://www.thecocktailproject.com/Espresso-Martini","EFFEN Original Vodka, Coffee Liqueur, EFFEN Original Vodka, Coffee Liqueur, Espresso, Better With Bitters","Vodka","Sweet",3,37,"['brown']","['birthday', 'fall', 'new-years', 'winter']"
"French 75","https://www.thecocktailproject.com/French-75","Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Champagne, Lemon Twist","Gin","Refreshing",0,0,"['yellow']","['birthday', 'holiday', 'new-years', 'wedding']"
"Last Word","https://www.thecocktailproject.com/Last-Word","Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Maraschino Liqueur, Green Chartreuse Liqueur","Gin","Sour",3,27,"['green']","['spring', 'summer']"
"Tom Collins","https://www.thecocktailproject.com/Tom-Collins","Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Club Soda, Orange Slice","Gin","Refreshing",3,37,"['clear']","['bbq', 'brunch', 'spring', 'summer']"
"Tokyo Collins","https://www.thecocktailproject.com/Tokyo-Collins","Suntory Roku Gin, Lemon Juice, Suntory Roku Gin, Lemon Juice, Simple Syrup, Club Soda","Gin","Refreshing",3,27,"['clear']","['bbq', 'brunch', 'spring', 'summer']"
"Gin Basil Smash","https://www.thecocktailproject.com/drink-recipes/gin-basil-smash","Sipsmith London Dry Gin, Simple Syrup, Sipsmith London Dry Gin, Simple Syrup, Lemon Juice, Variations of the Classic Martini","Gin","Refreshing",3,36,"['yellow', 'green']","['bbq', 'brunch', 'summer']"
"Japanese Gin Sour","https://www.thecocktailproject.com/Japanese-Gin-Sour","Suntory Roku Gin, Lime Juice, Suntory Roku Gin, Lime Juice, Simple Syrup","Gin","Sour",3,38,"['orange']","['fall', 'summer', 'winter']"
"Gimlet","https://www.thecocktailproject.com/drink-recipes/gimlet","Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Simple Syrup","Gin","Sour",3,32,"['yellow']","['birthday', 'brunch', 'spring', 'summer']"
"Kentucky Mule","https://www.thecocktailproject.com/Kentucky-Mule","Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Fresh Fruit","Bourbon","Refreshing",3,30,"['orange']","['bbq', 'brunch', 'spring', 'summer']"
"Vesper","https://www.thecocktailproject.com/Vesper","Suntory Haku Vodka, Suntory Roku Gin, Suntory Haku Vodka, Suntory Roku Gin, Lillet Blanc, Lemon Peel","Vodka","Refreshing",4,23,"['clear']","['fall', 'spring', 'summer', 'winter']"
"Sazerac","https://www.thecocktailproject.com/Sazerac","Courvoisier VS Cognac, Simple Syrup, Courvoisier VS Cognac, Simple Syrup, Peychaud's Bitters, Absinthe","Cognac","Sweet",3,19,"['brown']","['winter']"
"Jim Beam and Ginger Highball","https://www.thecocktailproject.com/drink-recipes/jim-beam-ginger-highball","Jim Beam Original, Fever-Tree Ginger Ale, Jim Beam Original, Fever-Tree Ginger Ale, Lemon Wedge","Bourbon",NA,3,32,"['brown']","['bbq', 'christmas', 'holiday', 'summer']"
"Midori Pot of Gold","https://www.thecocktailproject.com/drink-recipes/midori-pot-gold","Pinnacle Original Vodka, Midori Melon Liqueur, Pinnacle Original Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber Slices, Basil Leaves, Soda Water","Cordials","Sour",3,29,"['green']",NA
"Smoked Maple Old Fashioned","https://www.thecocktailproject.com/Smoked-Maple-Old-Fashioned","Knob Creek Smoked Maple Bourbon, Bitters, Knob Creek Smoked Maple Bourbon, Bitters, Sugar, Cherries","Bourbon","Sweet",3,69,"['brown']","['fall', 'holiday', 'thanksgiving']"
"Kentucky Made","https://www.thecocktailproject.com/Kentucky-Made","Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Simple Syrup, Fresh Mint Leaves, Cucumber Slices","Bourbon","Sweet",3,40,"['yellow']","['bbq', 'fall', 'spring', 'summer']"
"Bourbon Renewal","https://www.thecocktailproject.com/Bourbon-Renewal","Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, DeKuyper Creme de Cassis Liqueur, Simple Syrup, Angostura Bitters","Bourbon","Sweet",3,43,"['pink']","['bbq', 'brunch', 'spring', 'summer']"
"Kentucky Buck","https://www.thecocktailproject.com/Kentucky-buck","Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, Strawberries, Angostura Bitters, Ginger Beer","Bourbon","Refreshing",3,44,"['pink']","['bbq', 'spring', 'summer']"
"Ginger Buck","https://www.thecocktailproject.com/ginger-buck","Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Ginger, Simple Syrup, Candied Ginger, Ice","Bourbon","Sweet",3,59,"['yellow']","['bbq', 'brunch', 'fall', 'spring', 'summer']"
"Hemingway Daiquiri","https://www.thecocktailproject.com/drink-recipes/hemingway-daiquiri","Cruzan Aged Light Rum, Maraschino Liqueur, Cruzan Aged Light Rum, Maraschino Liqueur, Grapefruit Juice, Lime Juice, Lime Wheel","Rum","Refreshing",3,34,NA,"['fall', 'spring', 'winter']"
"Sparkling Berry Sangria","https://www.thecocktailproject.com/drink-recipes/sparkling-berry-sangria","Sparkling Rose Wine, DeKuyper Razzmatazz Schnapps Liqueur, Sparkling Rose Wine, DeKuyper Razzmatazz Schnapps Liqueur, Lemon Juice, Cranberry Juice, Simple Syrup, Blueberries","Cordials,wine","Sweet",3,34,"['red']","['bbq', 'birthday', 'brunch', 'spring', 'summer', 'valentines-day', 'wedding']"
"Tickled Pink","https://www.thecocktailproject.com/drink-recipes/tickled-pink","Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice, Simple Syrup, Edible Flowers","Vodka","Refreshing",3,64,"['pink']","['birthday', 'brunch', 'spring', 'valentines-day', 'wedding']"
"The Berry Thought of You","https://www.thecocktailproject.com/drink-recipes/the-berry-thought-of-you","Pinnacle Original Vodka, DeKuyper Creme de Cassis Liqueur, Pinnacle Original Vodka, DeKuyper Creme de Cassis Liqueur, Simple Syrup, Lemon Juice, Soda Water, Thyme Sprig","Vodka","Sweet",3,51,"['pink']","['birthday', 'brunch', 'spring', 'valentines-day', 'wedding']"
"Strawberry Crush","https://www.thecocktailproject.com/drink-recipes/strawberry-crush","Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Simple Syrup, Lemon Juice, Strawberries","Tequila","Sweet",3,52,"['pink']","['birthday', 'brunch', 'valentines-day', 'wedding']"
"Mai Tai","https://www.thecocktailproject.com/drink-recipes/mai-tai","Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Lime Juice, Orgeat Syrup, Cruzan Black Strap Rum, Lime Wedge","Rum","Refreshing",3,41,"['yellow']","['spring', 'summer', 'tropical']"
"Don Francisco Margarita","https://www.thecocktailproject.com/drink-recipes/don-francisco-margarita","Hornitos Plata Tequila, Orange Juice, Hornitos Plata Tequila, Orange Juice, Lime Juice, Honey Syrup, Salt and Chili Powder (for rim), Edible Marigold","Tequila","Sweet",0,0,"['orange']","['bbq', 'birthday', 'spring', 'summer']"
"Hornitos Paloma","https://www.thecocktailproject.com/drink-recipes/hornitos-paloma","Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Grapefruit Wedge","Tequila","Refreshing",3,50,"['red']","['bbq', 'christmas', 'holiday', 'summer']"
"Pinnacle Raspberry Lemonade","https://www.thecocktailproject.com/drink-recipes/pinnacle-raspberry-lemonade","Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Lemonade, Lemon Wheel","Vodka","Fruity",3,36,"['pink']","['summer']"
"Cruzan
Spiced Apple Cider","https://www.thecocktailproject.com/drink-recipes/spiced-apple-cider","Honey, Honey, Orange Juice, Apple Cider, Allspice","Rum","Sweet",3,43,"['red']","['fall', 'halloween', 'holiday', 'winter']"
"CV The French Twist","https://www.thecocktailproject.com/drink-recipes/cv-french-twist","Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Simple Syrup, Lemon Juice, Soda Water, Raspberries","Cognac","Sweet",3,33,"['yellow']","['brunch']"
"Cruzan Cider Punch","https://www.thecocktailproject.com/drink-recipes/cruzan-cider-punch","Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Orange Juice, Spiced syrup*, Apple Slices","Rum","Sweet",3,29,"['red']","['fall', 'halloween', 'holiday', 'winter']"
"Sipsmith Negroni","https://www.thecocktailproject.com/drink-recipes/sipsmith-negroni","Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth, Campari, Orange Peel, Using Fresh Citrus","Gin","Sweet",3,48,"['red']","['fall', 'winter']"
"CC Ginger Ale","https://www.thecocktailproject.com/drink-recipes/canadian-club-ginger-ale","Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Lime Wedge","Canadian Whisky","Refreshing",3,33,"['brown']","['bbq', 'christmas', 'holiday', 'summer']"
"Bruxo Mezcal Mule","https://www.thecocktailproject.com/drink-recipes/bruxo-mezcal-mule","Bruxo X Mezcal, Fever-Tree Ginger Beer, Bruxo X Mezcal, Fever-Tree Ginger Beer, Lime Wedge","Mezcal","Refreshing",3,20,"['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Hornitos Ranch Water","https://www.thecocktailproject.com/drink-recipes/Hornitos-ranch-water","Hornitos Plata Tequila, Fever-Tree Club Soda, Hornitos Plata Tequila, Fever-Tree Club Soda, Lime Juice, Lime Wedge","Tequila","Refreshing",3,79,"['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Sipsmith Gin and Tonic","https://www.thecocktailproject.com/drink-recipes/gin-and-tonic","Sipsmith London Dry Gin, Fever-Tree Indian Tonic Water, Sipsmith London Dry Gin, Fever-Tree Indian Tonic Water, Lime Wedge","Gin",NA,3,44,"['clear']","['bbq', 'christmas', 'holiday', 'summer']"
"Pinnacle Mule","https://www.thecocktailproject.com/drink-recipes/pinnacle-moscow-mule","Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice, Fever-Tree Ginger Beer, Lime Wedge","Vodka","Refreshing",3,42,"['clear']","['birthday', 'christmas', 'holiday', 'summer']"
"Sauza Mexican Paloma","https://www.thecocktailproject.com/drink-recipes/sauza-mexican-paloma","Sauza Hacienda Silver Tequila, Grapefruit Soda, Sauza Hacienda Silver Tequila, Grapefruit Soda, Lime Juice, Lime Wheel","Tequila","Sour",3,39,"['green']","['fall', 'summer']"
"DeKuyper End of the Rainbow","https://www.thecocktailproject.com/drink-recipes/dekuyper-end-of-rainbow","Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Lime Juice, Simple Syrup, Lime Wheel","Cordials","Sour",3,50,"['green']","['game-day', 'spring']"
"Haku Martini","https://www.thecocktailproject.com/drink-recipes/haku-martini-vodka","Suntory Haku Vodka, Dry Vermouth, Suntory Haku Vodka, Dry Vermouth, Orange Bitters, Umeboshi","Cordials","Savory",3,32,"['clear']",NA
"EFFEN Blood Orange Crush","https://www.thecocktailproject.com/drink-recipes/effen-blood-orange-crush","EFFEN Blood Orange Vodka, DeKuyper Triple Sec Liqueur, EFFEN Blood Orange Vodka, DeKuyper Triple Sec Liqueur, Orange, Lemon-Lime Soda, Orange Wedges","Cordials","Sweet",3,61,"['orange']","['fall', 'holiday', 'thanksgiving']"
