"Name","Color","occasion"
"Espresso Martini","['brown']","['birthday', 'fall', 'new-years', 'winter']"
"Sazerac","['brown']","['winter']"
"Jim Beam and Ginger Highball","['brown']","['bbq', 'christmas', 'holiday', 'summer']"
"Smoked Maple Old Fashioned","['brown']","['fall', 'holiday', 'thanksgiving']"
"Basil Hayden's Golden Hour","['brown']","['fall', 'winter']"
"CC Ginger Ale","['brown']","['bbq', 'christmas', 'holiday', 'summer']"
"Legent Sea 'New' Fashioned","['brown']","['fall', 'holiday', 'thanksgiving']"
"Knob Creek Rye Old Fashioned","['brown']","['fall', 'holiday', 'thanksgiving']"
"C.C. & Cola","['brown']","['fall', 'holiday', 'thanksgiving']"
"Kilbeggan Irish Coffee","['brown']","['brunch', 'christmas', 'spring', 'winter']"
"Cruzan Safe Harbor","['brown']","['bbq', 'christmas', 'holiday', 'summer']"
"SQRRL Carajillo","['brown']","['bbq', 'brunch', 'wedding']"
"SQRRL PB Manhattan","['brown']","['bbq', 'holiday', 'winter']"
"Maker's Mark Gold Rush","['brown']","['fall', 'holiday', 'thanksgiving']"
"Legent Blossom Old Fashioned","['brown']","['fall', 'winter']"
"Knob Creek Old Fashioned","['brown']","['fall', 'winter']"
"Pinnacle Peppermint Hot Chocolate","['brown']","['christmas', 'holiday', 'winter']"
"Cruzan Coquito","['brown']","['christmas', 'holiday', 'winter']"
"Pumpkin Spice White Russian","['brown']","['fall']"
"Au-Kee-Ta","['brown']","['fall']"
"Bobby Burns","['brown']","['fall']"
"Rob Roy","['brown']","['fall']"
"Beer & Loathing","['brown']","['fall', 'thanksgiving', 'winter']"
"Berry White","['brown']","['bbq', 'fall', 'game-day', 'thanksgiving']"
"It’s Bitter to Be Hoppy","['brown']","['fall', 'thanksgiving']"
"Laphroaig Land and Sea","['brown']","['fall', 'thanksgiving']"
"Laphroaig Back Yard Collins","['brown']","['bbq', 'fall']"
"Jim Beam Black Hot Toddy","['brown']","['fall', 'winter']"
"Hot Buttery Barrel","['brown']","['fall', 'game-day']"
"Courvoisier Classic","['brown']","['ladies-night', 'new-years', 'wedding']"
"Louisville Skyline","['brown']","['fall']"
"Basil Hayden’s Classic Manhattan","['brown']","['fall']"
"Spiced Cherry Sipper","['brown']",NA
"Spiced Cocoa","['brown']","['winter']"
"Pumpkin Bourbon Cider","['brown']","['fall', 'winter']"
"Dry Rye Manhattan","['brown']",NA
"C.C. & Ginger","['brown']",NA
"Tree Trimmer","['brown']","['holiday']"
"Beam & Hops","['brown']","['bbq', 'game-day']"
"Rye in Paradise","['brown']","['fall']"
"Chili Chocolate Orange","['brown']",NA
"Crusta","['brown']",NA
"Courvoisier Sidecar","['brown']","['ladies-night', 'new-years', 'wedding']"
"A Warm Welcome","['brown']","['holiday', 'winter']"
"Harbor Punch","['brown']","['bbq', 'spring', 'summer']"
"Kentucky Sweet Tea","['brown']","['bbq', 'summer']"
"DeKuyper Fuzzy Beam","['brown']","['spring']"
"Old '97","['brown']","['fall', 'winter']"
"Jimmy's Chocolate","['brown']","['summer']"
"Kentucky Joe","['brown']","['bbq']"
"Journeyman","['brown']","['fall']"
"Jim Rickey","['brown']",NA
"Apple 'N' Rye","['brown']","['fall']"
"Honey Toddy","['brown']","['fall', 'holiday', 'winter']"
"Fireside Coco","['brown']","['christmas', 'fall', 'holiday', 'winter']"
"Fire Drop","['brown']","['bbq', 'spring', 'summer']"
"Jim Beam Manhattan","['brown']",NA
"Dernier Cri","['brown']","['fall', 'spring']"
"Jim Beam Orleans","['brown']","['fall', 'holiday', 'wedding', 'winter']"
"Dancing with the Devil","['brown']","['summer']"
"Jimmy's Best","['brown']",NA
"Front Porch Peach Tea","['brown']","['bbq', 'spring', 'summer']"
"Apple Highball","['brown']","['bbq', 'fall']"
"Cuba Libre","['brown']","['bbq']"
"Mudslide","['brown']","['birthday', 'ladies-night', 'summer']"
"Bourbon Cider Cocktail","['brown']","['fall', 'holiday', 'thanksgiving']"
"Bourbon Bonn Bonn","['brown']","['holiday', 'winter']"
"Apricot Sage Bourbon Cocktail","['brown']","['spring', 'summer']"
"Bardstown Sling","['brown']","['bbq', 'fall', 'summer', 'thanksgiving']"
"Blucumber Fizz","['brown']","['bbq', 'birthday', 'summer']"
"Dragons Toe","['brown']","['bbq', 'spring']"
"Maker's Mark & Ginger","['brown']","['fall']"
"Maker's Mark and Kumquat Marmalade","['brown']","['fall']"
"Maker's Mark Collins","['brown']","['fall']"
"Maker's Mark Presbyterian","['brown']","['fall']"
"Maker's Mark Redhead","['brown']","['fall', 'thanksgiving']"
"Maker's Mark Sour","['brown']","['birthday', 'ladies-night', 'fall']"
"Maker's Mark Summer Breeze","['brown']","['summer']"
"Maker's Mash","['brown']","['bbq', 'summer']"
"The Lion & The Lamb","['brown']","['fall']"
"Apple Manhattan","['brown']","['birthday', 'ladies-night', 'ladies-night', 'fall', 'thanksgiving', 'winter']"
"Citrus Basil Manhattan","['brown']","['fall', 'spring', 'wedding']"
"Dram Sour","['brown']","['fall', 'holiday']"
"Maker's Mark Manhattan","['brown']","['birthday', 'ladies-night', 'fall', 'holiday', 'valentines-day']"
"Oh Henry","['brown']","['bbq', 'fall', 'winter']"
"Maker's Mark  
  Mint Julep","['brown']","['spring', 'summer']"
"Maker's Mark Mojito","['brown']","['bbq', 'fall', 'summer']"
"Whisky Smash","['brown']","['fall']"
"Fancy Bourbon Punch","['brown']","['bbq', 'birthday', 'ladies-night', 'brunch', 'christmas', 'fall', 'thanksgiving', 'winter']"
"La Mela","['brown']","['fall', 'holiday', 'thanksgiving']"
"Old Fashioned","['brown']","['bbq', 'fall', 'thanksgiving']"
"The Chee Chee","['brown']","['bbq', 'fall', 'thanksgiving']"
"The Fiscal Agent","['brown']","['fall']"
"Kentucky Coffee","['brown']","['fall', 'holiday', 'winter']"
"Yuzu Toddy","['brown']","['fall', 'holiday', 'thanksgiving', 'winter']"
"Midori Cider","['brown']","['bbq', 'fall', 'summer']"
"Peanut Butter Cup Martini","['brown']","['birthday', 'halloween', 'holiday']"
"Root Beer Freeze","['brown']","['birthday']"
"Spicy Hot Chocolate","['brown']","['holiday', 'new-years', 'valentines-day', 'winter']"
"Long Island Iced Tea","['brown']","['bbq', 'summer']"
"Chocolate Martini","['brown']","['birthday', 'holiday', 'valentines-day']"
"Buttershots™ Slide","['brown']","['christmas', 'fall', 'holiday', 'winter']"
"Classic Manhattan","['brown']","['birthday', 'fall']"
"Christmas Mint Kiss","['brown']","['christmas', 'holiday', 'winter']"
"Peach Whiskey Sour","['brown']","['bbq', 'birthday', 'spring', 'summer']"
"Fall Sangria","['brown']","['bbq', 'birthday', 'fall']"
"Pumpkin Pie Martini","['brown']","['fall', 'halloween', 'holiday', 'thanksgiving']"
