,Occasion,Cocktails
0,bbq,"['Tom Collins', 'Tokyo Collins', 'Gin Basil Smash', 'Kentucky Mule', 'Jim Beam® and Ginger Highball', 'Kentucky Made', 'Bourbon Renewal', 'Kentucky Buck', 'Ginger Buck', 'Sparkling Berry Sangria', 'Don Francisco Margarita', 'Hornitos® Paloma', 'CC® Ginger Ale', 'Bruxo® Mezcal Mule', ""Maker's Mark® Merry Berry Buck"", 'Hornitos® Ranch Water', 'Sipsmith® Gin and Tonic', 'Haku® Highball (“Haku-Hi”)', 'Toki® Highball', 'Roku® Gin Sonic', 'SQRRL® Top Banana', 'Cruzan® Safe Harbor', 'El Tesoro® Paloma', 'SQRRL® Carajillo', 'SQRRL® PB Manhattan', 'Classic Hornitos® Paloma', 'Half & Half Punch', 'Summer Fish Bowl', 'Berry White', 'Laphroaig® Back Yard Collins', 'Double Oak Whiskey Smash', 'Paloma', 'Melon Berry Mist', 'Cruzan® Mai Tai', 'Derby Fizz', 'Pineapple Crush', 'Mango Sunset', 'Basil Berry Mojito', 'Black Cherry Avalanche', 'Derby Spritzer', 'Blue Lagoon Sangria', 'Banana ‘Nana Daiquiri', 'Sparkling Cherry Sangria', 'Citrus-Spangled Spritzer', 'Everblooming Fizz', 'Blue Stallion Julep', 'Spicy Cucumber Margarita', 'Berry Moscow Mule', 'Juicy Screw', 'Berry Good Shandy', 'David Beams 1838 Cocktail', 'Tropical Spice', 'Classic Mojito', 'Beam® & Hops', 'Vodka Lemonade', 'Harbor Punch', 'Stars & Stripes Spiced Ice', 'Kentucky Joe', 'Fire Drop', 'Red Stag® Half & Half', 'Kentucky Sweet Tea', 'Front Porch Peach Tea', 'Apple Highball', 'Cuba Libre', 'Moscow Mule', 'Midori® Jim and Ginger', 'Bardstown Sling', 'Blucumber Fizz', 'Dragons Toe', 'Peach Tea', ""Maker's Mash"", 'Oh Henry', ""Maker's Mark® Mojito"", 'Fancy Bourbon Punch', 'Summer Mash Up', 'Old Fashioned', 'The Chee Chee', 'The Unnecessary Noise', 'Peach Lemonade Spritzer', 'Jim Beam® Lemonade', 'Midori® and Ginger', 'Midori® Cider', 'Pina Punch', 'Melon Splash', 'Apple Fizz', 'Blueberry Margarita', 'Bahama Mama', 'Blue Hawaii', 'Sauza® Strawberry Margarita', 'Watermelon Martini', 'Watermelon Margarita', 'Long Island Iced Tea', 'Watermelon Pucker®', 'Sauza® Peach Margarita', 'Holly Jolly Punch', 'Berry Burst', 'Sloe Gin Fizz', 'Peach Whiskey Sour', 'Apple Daiquiri', 'Watermelon Mai Tai', 'Amaretto Pina Colada', 'Lazy Day Colada', 'Razzmatazz® Sangria', 'Spring Sangria', 'Fall Sangria', 'Nectarita', 'Sauza® Razzmatazz Margarita', 'Blushing Margarita', 'Elderflower Margarita', 'Melon Creek Martini', 'Strawberry Lemonade Mojito', 'Cruzan® Peach Sangria', 'Classic Rum Punch', 'Bay Breeze', 'Endless Summer Punch', 'Cruzan® Confusion', 'Mango Hurricane', 'Cruzan® 9 Punch', 'Cruzan® Summer Breeze', ""Weekenders' Punch"", 'Stars and Stripes Bloody Mary', 'Mexican Mule', 'Sauza® Watermelon Margarita', 'Peach Iced Tea', 'Pinnacle® Summer Breeze', ""S'mmmores"", 'Strawberry Basil']"
1,birthday,"['Espresso Martini', 'French 75', 'Gimlet', ""'Tea' New Fashioned"", 'Sparkling Berry Sangria', 'Tickled Pink', 'The Berry Thought of You', 'Strawberry Crush', 'Don Francisco Margarita', 'Pinnacle® Mule', 'SQRRL® Top Banana', 'Kiss Me Cocktail', 'Vodka Beast', 'Cognac Summit', 'Citrus Fizz', 'Pool Party Punch', 'Mudslide', ""Maker's Mark® Sour"", 'Bourbon Butter Pecan Milkshake', 'Blucumber Fizz', 'The Brown Derby', 'Apple Manhattan', 'Fancy Bourbon Punch', 'Bourbon Ball', 'Bourbon Ball', 'Le Provocateur', ""Maker's Mark® Manhattan"", ""Man O' War"", 'The Samuels', 'After Midnight in Kentucky', 'Spaghetti Western', 'Strawberry Julep', 'Bellini Manhattan', 'Peach Lemonade Spritzer', 'Jim Beam® Lemonade', 'Melon Splash', 'Classic Manhattan', 'Classic Lemon Drop', 'Berry Burst', 'Amaretto Stone Sour', 'Cinnamon Sugar Cookie', 'Strawberry Tease Martini', 'Candy Apple', 'Purple Haze Martini', 'Mintini Martini', 'Apple Cider Float', 'Peachtree® Bellini', 'DeKuyper® Banana Split', 'Buttery Nipple', 'Chocolate Martini', 'Watermelon Margarita', 'Root Beer Freeze', 'Smore-Tini', 'Sugar Pop Martini', 'Peanut Butter Cup Martini', 'Midori® Sparkle', 'White Chocolate Raspberry Martini', 'Toffee Drop Martini', 'Sour Apple Popsicle Martini', 'Red Velvet Cake Martini', 'Razzmatazz® Truffle Martini', 'Key Lime Pie Martini', 'Elderflower Martini', 'Cran-Apple Martini', 'Blushing Margarita', 'Nectarita', 'Fall Sangria', 'Watermelon Mai Tai', 'Peach Whiskey Sour', 'Sloe Gin Fizz', 'Oatmeal Cookie', 'Chocolate Covered Cherry', 'Rum Breeze', ""Weekenders' Punch"", 'Chocolate Covered Berries', 'Ooh La La Lemon', 'Grape Cosmo', 'Mocha Razz-Tini']"
2,ladies-night,"['EFFEN® Blood Orange Mimosa', 'Cucumber Watermelon Martini', 'Sex On The Beach', 'Juicy Screw', 'Courvoisier® Classic', 'Cognac Summit', 'Classic Mojito', 'Paris Dream', 'Flirty Fizz', 'Citrus Fizz', 'El Bombin', 'First Class', 'Sparkling Cognac', 'Courvoisier® Sidecar', 'Melon Ball', 'Cucumber Martini', 'Strawberry Daiquiri', 'Mudslide', 'Makerita', 'Apple Manhattan', 'The Brown Derby', ""Maker's Mark® Sour"", 'Fancy Bourbon Punch', 'Kentucky Bubbly', 'The Brown Derby', 'Apple Manhattan', 'Le Provocateur', ""Maker's Mark® Manhattan"", ""Man O' War"", 'The Samuels', 'After Midnight in Kentucky', 'Strawberry Julep', 'Bellini Manhattan', 'Peach Lemonade Spritzer', 'Jim Beam® Lemonade', 'Cherry Margarita', 'Midori® Sparkle', 'Blushing Margarita', 'Blue Martini', 'Slippery Slide', 'The Raspberry Julep', 'Oatmeal Cookie', 'Peachtree® Bellini', 'Classic Lemon Drop', 'Berry Burst', 'Peachtree® Martini', 'Strawberry Tease Martini', 'Candy Apple', 'Buttery Nipple', 'Condopolitan', 'Watermelon Martini', 'Sugar Pop Martini', 'Blueberry Margarita', ""Alligator's Kiss"", 'Coconut Snowball Martini', 'Cran-Apple Martini', 'Double Razzmatazz® Grape Martini', 'Fuzzy Melon Ball', 'Elderflower Martini', 'Key Lime Pie Martini', 'Melon Creek Martini', 'Elderflower Margarita', 'Razzmatazz® Truffle Martini', 'Red Velvet Cake Martini', 'Sour Apple Popsicle Martini', 'White Chocolate Raspberry Martini', 'Cruzan® Sidecar', 'Cruzan® 9 Punch', 'Strawberry Basil Spritzer', 'Strawberry Rosemary Punch', 'Voodoo Hurricane', 'Candy Apple Margarita', 'Ooh La La Lemon', 'Paris Escape', 'Pink Pineapple-Tini', 'Pinnacle® Summer Breeze', 'Grape Cosmo', 'Mango Cran-Tini', 'Sunset Martini', 'Pineapple Razztini', 'Chocolate Covered Berries', 'Vanilla Cream Berry-Tini', 'Red Greyhound Pinn-Tini', 'Classic Cosmo']"
3,brunch,"['Tom Collins', 'Tokyo Collins', 'Gin Basil Smash', 'Gimlet', 'Kentucky Mule', ""'Tea' New Fashioned"", 'Bourbon Renewal', 'Ginger Buck', 'Sparkling Berry Sangria', 'Tickled Pink', 'The Berry Thought of You', 'Strawberry Crush', ""Maker's Mark®\nBourbon Spritz"", 'CV® The French Twist', 'Kilbeggan® Irish Coffee', 'SQRRL® Top Banana', 'SQRRL® Carajillo', 'Laphroaig® Blood Mary Queen of Scots', 'Pina Punch', 'EFFEN® Raspberry Lemonade', 'EFFEN® Blood Orange Mimosa', 'Tequila Sunrise', 'Melon Cooler', 'Citrus-Spangled Spritzer', 'Blue Stallion Julep', 'Berry Moscow Mule', 'Juicy Screw', 'Berry Good Shandy', 'Minted Joe', 'Dad’s Bourbon Mary', 'Guava Spice', 'Citrus Fizz', 'Bloody Beam', 'Devil in the Morning', 'The Rider', 'The Devil & Miss Mary', 'Kentucky Sunrise', 'Honey Apple Cucumber', 'Bloody Mark', 'Fancy Bourbon Punch', 'Fuzzy Beam', 'Peachtree® Bellini', 'Spring Sangria', 'Strawberry Lemonade Mojito', 'Cruzan® 9 Tea', 'Stars and Stripes Bloody Mary', 'Sunrise', 'Bloody Maria', 'Sunday Funday Bloody Mary', 'Pinnacle® Summer Breeze', 'Peach Iced Tea', 'Skinnygirl® Bloody Mary']"
4,christmas,"['Jim Beam® and Ginger Highball', 'Hornitos® Paloma', 'CC® Ginger Ale', 'Bruxo® Mezcal Mule', ""Maker's Mark® Merry Berry Buck"", 'Hornitos® Ranch Water', 'Sipsmith® Gin and Tonic', 'Pinnacle® Mule', 'Kilbeggan® Irish Coffee', 'Haku® Highball (“Haku-Hi”)', 'Toki® Highball', 'Roku® Gin Sonic', 'SQRRL® An Apple A Day', 'Cruzan® Safe Harbor', 'El Tesoro® Paloma', 'Pinnacle® Peppermint Hot Chocolate', 'Cruzan® Coquito', 'Cruzan® Cranberry Cider Punch', 'Pinnacle® Holly Jolly Punch', 'Cranberry Mojito', 'Blue Flurry', 'Blazer', 'Fireside Coco', ""Maker's (Non-Egg) Nog"", 'Fancy Bourbon Punch', ""Maker's Mistletoe"", 'Fruitcake', 'Snow Cap', ""Maker's Mark® Eggnog"", ""Elf's Kiss"", 'Ginger Martini', 'Slippery Slide', 'Cinnamon Sugar Cookie', 'Holly Jolly Punch', 'Mintini Martini', 'Christmas Mint Kiss', 'Buttershots™ Slide', 'Choco-Peppermint Shake', 'Holly Jolly', 'Midori® Mistletoe', 'Spiced Holly Highball', 'Peppermint Hot Chocolate']"
5,fall,"['Espresso Martini', 'Japanese Gin Sour', 'Vesper', ""'Tea' New Fashioned"", 'Smoked Maple Old Fashioned', 'Kentucky Made', 'Ginger Buck', 'Hemingway Daiquiri', ""Maker's Mark® Paper Plane"", ""Basil Hayden's® Golden Hour"", 'Cruzan®\nSpiced Apple Cider', 'Cruzan® Cider Punch', 'Sipsmith® Negroni', 'Sauza® Mexican Paloma', ""Maker's Mark® Hot Apple Cider"", ""Baker's® Midnight Manhattan"", ""Legent® Sea 'New' Fashioned"", 'EFFEN® Blood Orange Crush', 'Knob Creek® Rye Old Fashioned', 'C.C.® & Cola', 'Sipsmith® Martini', 'Pinnacle® Black Widow Martini', 'Courvoisier® Gala', 'SQRRL® An Apple A Day', 'SQRRL® Top Banana', ""Maker's Mark® Gold Rush"", 'Legent® Blossom Old Fashioned', 'Basil Hayden®\nBoulevardier', 'Knob Creek® Old Fashioned', 'Cruzan® Cranberry Cider Punch', 'Pinnacle® Holly Jolly Punch', 'Hornitos® Shot-Taker\nMargarita', ""El Tesoro® Tommy's Margarita"", 'Still Steam', 'The Wheel', 'Cranberry Mojito', 'Blue Flurry', 'Bourbon Cider Sour', 'Laphroaig® Blood Mary Queen of Scots', 'Pumpkin Spice White Russian', 'Au-Kee-Ta', 'Glasgow Seelbach', 'Bobby Burns', 'Rob Roy', 'Zombie', 'Beer & Loathing', 'Berry White', 'Lemon Tell You Somethin’ Honey', 'It’s Bitter to Be Hoppy', 'Laphroaig® Land and Sea', 'Laphroaig® Broadbay Sour', 'Laphroaig® Back Yard Collins', 'Prickly Pink Margarita', 'Pina Punch', 'Sauza® Cilantro Jalapeno Margarita', 'EFFEN® Green Apple Cooler', 'EFFEN® Blood Orange Mimosa', 'Black Sunset', 'Double Oak Whiskey Smash', 'Jim Beam® Black Hot Toddy', 'Buttershots® Old Fashioned', 'Rye Opener', 'Rye Squeeze', 'Bourbon Milk Punch', 'Laphroaig® Penicillin', 'Hot Buttery Barrel', 'David Beams 1838 Cocktail', 'Louisville Skyline', 'Basil Hayden’s® Classic Manhattan', 'Spiced Christmas Punch', 'Pumpkin Bourbon Cider', 'Peach Old Fashioned', 'Crisp Apple Ade', 'Orchard Twist', 'Passion Car', 'Rye in Paradise', 'The Contemporary', 'Beam® Applebees', 'Journeyman', ""Apple 'N' Rye"", 'Honey Toddy', 'Fireside Coco', 'Fire Apple', 'Red Stag® Half & Half', 'Cranberry Cooler', ""Old '97"", 'Dernier Cri', 'Jim Beam® Orleans', 'The Rider', 'Apple Highball', 'Bourbon Cider Cocktail', 'Bourbon Butter Pecan Milkshake', 'Apples and Bourbon', 'Apricot Sour', 'Bardstown Sling', 'Bourbon Squash', ""Maker's Mark® & Ginger"", ""Maker's Mark® and Kumquat Marmalade"", ""Maker's Mark® Collins"", ""Maker's Mark® Presbyterian"", ""Maker's Mark® Redhead"", ""Maker's Mark® Sour"", ""Maker's Mistletoe"", 'The Brown Derby', 'The Lion & The Lamb', 'Apple Manhattan', 'Citrus Basil Manhattan', 'Dram Sour', ""Maker's Mark® Manhattan"", ""Man O' War"", 'Oh Henry', 'The Samuels', ""Maker's Mark® Mojito"", 'Whisky Smash', 'Fancy Bourbon Punch', 'La Mela', 'Old Fashioned', 'The Chee Chee', 'The Fiscal Agent', 'The Unnecessary Noise', 'Kentucky Coffee', 'Yuzu Toddy', 'Midori® Cider', 'Caramel Apple Martini', 'Smore-Tini', 'Caramel Apple Shot', 'Condopolitan', 'Apple Pie', 'Appletini', 'Buttershots™ Slide', 'Boozy Pumpkin Milkshake', 'Classic Manhattan', 'Apple Cider Float', 'New England Apple Pie', 'Candy Apple', 'Holly Jolly Punch', 'Cinnamon Sugar Cookie', 'Amaretto Stone Sour', 'Fall Sangria', 'Cran-Apple Martini', 'Pumpkin Pie Martini', 'Spiced Holly Highball', 'Autumn-tini', 'Hot Buttered Spiced Rum', 'Maple Leaf', 'Hot Toddy', 'Hornitos® Black Barrel® Tequila Manhattan', 'Hornitos® Black Barrel® Tequila Old Fashioned', 'Sauza® 901® Club', 'Peach Iced Tea', ""S'mmmores""]"
6,game-day,"['SQRRL® PB&J Shot', 'DeKuyper® End of the Rainbow', 'SQRRL® An Apple A Day', 'Sideline Sipper', 'Blue Lagoon', 'Home Team Punch', 'Red Zone', 'Sour Apple Highball', 'Yellowhammer', 'Blue Mule', 'Watermelon Rush', 'Black & Gold', 'Cubbie Blue', 'Orangesicle', 'Berry White', 'Lemon Tell You Somethin’ Honey', 'Hot Buttery Barrel', 'David Beams 1838 Cocktail', 'Tropical Spice', 'Dad’s Bourbon Mary', 'Beam® & Hops', 'Jim Beam Black®\nManhattan', 'Game Day Peach Sour', 'Jim Beam® Apple Highball', 'Red Stag® Half & Half', 'Slowpoke Shandy', 'Sunday Funday Bloody Mary']"
7,halloween,"['Cruzan®\nSpiced Apple Cider', 'Cruzan® Cider Punch', 'Pinnacle® Black Widow Martini', 'Zombie', ""Spider's Kiss"", 'Peanut Butter Cup Martini', 'Caramel Apple Martini', 'Caramel Apple Shot', 'Appletini', 'Boozy Pumpkin Milkshake', 'Purple Haze Martini', 'Brain Hemorrhage', 'Pumpkin Pie Martini', 'Toffee Drop Martini', 'Hot Buttered Spiced Rum']"
8,holiday,"['French 75', 'Jim Beam® and Ginger Highball', ""'Tea' New Fashioned"", 'Smoked Maple Old Fashioned', 'Hornitos® Paloma', 'Cruzan®\nSpiced Apple Cider', 'Cruzan® Cider Punch', 'CC® Ginger Ale', 'Bruxo® Mezcal Mule', ""Maker's Mark® Merry Berry Buck"", 'Hornitos® Ranch Water', 'Sipsmith® Gin and Tonic', 'Pinnacle® Mule', ""Maker's Mark® Hot Apple Cider"", ""Baker's® Midnight Manhattan"", ""Legent® Sea 'New' Fashioned"", 'EFFEN® Blood Orange Crush', 'Knob Creek® Rye Old Fashioned', 'C.C.® & Cola', 'Sipsmith® Martini', 'Haku® Highball (“Haku-Hi”)', 'Toki® Highball', 'Roku® Gin Sonic', 'Cruzan® Safe Harbor', 'El Tesoro® Paloma', 'SQRRL® PB Manhattan', ""Maker's Mark® Gold Rush"", 'Basil Hayden®\nBoulevardier', 'Pinnacle® Peppermint Hot Chocolate', 'Cruzan® Coquito', 'Cruzan® Cranberry Cider Punch', 'Pinnacle® Holly Jolly Punch', 'Still Steam', 'The Wheel', 'Kilbeggan® Brosna Sour', 'Gingerbread Sour', 'Cranberry Mojito', 'Blue Flurry', 'Buttershots® Old Fashioned', 'Bourbon Milk Punch', 'Holiday Wreath', 'Yule Nog', 'Kiss Me Cocktail', 'Laphroaig® Penicillin', 'DeKuyper® Mintini', 'Spiced Christmas Punch', 'Tree Trimmer', 'Paris Dream', 'Flirty Fizz', 'A Warm Welcome', 'Honey Toddy', 'Fireside Coco', 'Jim Beam® Orleans', 'Bourbon Cider Cocktail', 'Yuzu Toddy', 'Kentucky Coffee', 'La Mela', ""Maker's Mark® Manhattan"", 'Dram Sour', 'Bourbon Ball', ""Maker's Mistletoe"", 'Apples and Bourbon', 'Snow Cap', ""Maker's (Non-Egg) Nog"", ""Maker's Mark® Eggnog"", 'Bourbon Bonn Bonn', 'Bellini Manhattan', ""Elf's Kiss"", 'White Chocolate Raspberry Martini', 'Midori® Mistletoe', 'Holly Jolly', 'Midori® Sparkle', 'Peanut Butter Cup Martini', 'White Russian', 'Spicy Hot Chocolate', 'Chocolate Martini', 'Buttery Nipple', 'Choco-Peppermint Shake', 'Buttershots™ Slide', 'Boozy Pumpkin Milkshake', 'Christmas Mint Kiss', 'Mintini Martini', 'Candy Apple', 'Toffee Drop Martini', 'Red Velvet Cake Martini', 'Pumpkin Pie Martini', 'Ginger Martini', 'Coconut Snowball Martini', 'Slippery Slide', 'Peachtree® Bellini', 'Cinnamon Sugar Cookie', 'Holly Jolly Punch', 'New England Apple Pie', 'Spiced Holly Highball', 'Hot Buttered Spiced Rum', 'Chocolate Covered Cherry', 'Hot Toddy', 'Red Greyhound Pinn-Tini', 'Peppermint Hot Chocolate', 'Mocha Razz-Tini']"
9,new-years,"['Espresso Martini', 'French 75', 'Blue Flurry', 'Kiss Me Cocktail', 'Courvoisier® Classic', 'Sparkling Cognac', 'Courvoisier® Sidecar', 'Kentucky Bubbly', 'Le Provocateur', 'Bellini Manhattan', 'Midori® Orange and Sparkling', 'Double Razzmatazz® Grape Martini', 'Peachtree® Bellini', 'Strawberry Tease Martini', 'Buttery Nipple', 'Spicy Hot Chocolate', 'Midori® Sparkle', 'The Money Maker', ""Midnight's Kiss""]"
