Name,Link,Ingredients_x,Main Spirit,Flavor,Rating,Ratings Count,Ingredients_y,Color,Occasion,Description,orange,cranberry,pineapple,citrus,bitters,fresh,herb,cinnamon,Cinnamon,Mint,Lime
Espresso Martini,https://www.thecocktailproject.com/Espresso-Martini,"EFFEN Original Vodka, Coffee Liqueur, EFFEN Original Vodka, Coffee Liqueur, Espresso, Better With Bitters",Vodka,Sweet,3,37,"EFFEN Original Vodka, Coffee Liqueur, EFFEN Original Vodka, Coffee Liqueur, Espresso, Better With Bitters",['brown'],"['birthday', 'fall', 'new-years', 'winter']","Whether it's starting a great night or capping one off, this combination of EFFEN?? Original Vodka, espresso and coffee liqueur is simple to make before, after or right in the middle of any fun gathering.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
French 75,https://www.thecocktailproject.com/French-75,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Champagne, Lemon Twist",Gin,Refreshing,0,0,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Champagne, Lemon Twist",['yellow'],"['birthday', 'holiday', 'new-years', 'wedding']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Last Word,https://www.thecocktailproject.com/Last-Word,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Maraschino Liqueur, Green Chartreuse Liqueur",Gin,Sour,3,27,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Maraschino Liqueur, Green Chartreuse Liqueur",['green'],"['spring', 'summer']","Historically found in the speakeasy, this distinguished cocktail can now be found right in your home. Part Sipsmith?? London Dry Gin, part evening standout, this well-chilled coupe glass dweller keeps every evening classy.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Tom Collins,https://www.thecocktailproject.com/Tom-Collins,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Club Soda, Orange Slice",Gin,Refreshing,3,37,"Sipsmith London Dry Gin, Lemon Juice, Sipsmith London Dry Gin, Lemon Juice, Simple Syrup, Club Soda, Orange Slice",['clear'],"['bbq', 'brunch', 'spring', 'summer']","Not everyone agrees where the name Tom Collins comes from, but they do agree it's a great cocktail to enjoy after brunch. A combination of Sipsmith?? London Dry Gin, lemon juice, club soda and simple syrup, this bright and shining social sparkler will fit right in on any park blanket or porch table.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Tokyo Collins,https://www.thecocktailproject.com/Tokyo-Collins,"Suntory Roku Gin, Lemon Juice, Suntory Roku Gin, Lemon Juice, Simple Syrup, Club Soda",Gin,Refreshing,3,27,"Suntory Roku Gin, Lemon Juice, Suntory Roku Gin, Lemon Juice, Simple Syrup, Club Soda",['clear'],"['bbq', 'brunch', 'spring', 'summer']","If you ever want to visit Tokyo, try starting at home. Made with Suntory?? Roku Gin, this light, elegant and simple cocktail travels well from kitchen to coffee table and beyond.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Gin Basil Smash,https://www.thecocktailproject.com/drink-recipes/gin-basil-smash,"Sipsmith London Dry Gin, Simple Syrup, Sipsmith London Dry Gin, Simple Syrup, Lemon Juice, Variations of the Classic Martini",Gin,Refreshing,3,36,"Sipsmith London Dry Gin, Simple Syrup, Sipsmith London Dry Gin, Simple Syrup, Lemon Juice, Variations of the Classic Martini","['yellow', 'green']","['bbq', 'brunch', 'summer']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Japanese Gin Sour,https://www.thecocktailproject.com/Japanese-Gin-Sour,"Suntory Roku Gin, Lime Juice, Suntory Roku Gin, Lime Juice, Simple Syrup",Gin,Sour,3,38,"Suntory Roku Gin, Lime Juice, Suntory Roku Gin, Lime Juice, Simple Syrup",['orange'],"['fall', 'summer', 'winter']","Make any time of year shine with Suntory Roku?? Gin. Whether it?Â?s muddled strawberries and basil leaves in the summer, apple slices and old fashioned bitters in the fall, or lemon and lime juice with yuzu bitters in the winter, switch up the fruits and flavors with this diverse cocktail.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Gimlet,https://www.thecocktailproject.com/drink-recipes/gimlet,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Simple Syrup",Gin,Sour,3,32,"Sipsmith London Dry Gin, Lime Juice, Sipsmith London Dry Gin, Lime Juice, Simple Syrup",['yellow'],"['birthday', 'brunch', 'spring', 'summer']",,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Kentucky Mule,https://www.thecocktailproject.com/Kentucky-Mule,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Fresh Fruit",Bourbon,Refreshing,3,30,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Fresh Fruit",['orange'],"['bbq', 'brunch', 'spring', 'summer']","Not all mules come from Moscow. With a charming mix of Maker's Mark??, fresh fruit and cold ginger beer, this cocktail twists straight out of Kentucky. Take your pick from mango, strawberry, raspberry and many more fruits to make this southern surprise packed full of summer vibes. ",NA,NA,NA,citrus,NA,fresh,NA,NA,nocinnamon,nomint,lime
Vesper,https://www.thecocktailproject.com/Vesper,"Suntory Haku Vodka, Suntory Roku Gin, Suntory Haku Vodka, Suntory Roku Gin, Lillet Blanc, Lemon Peel",Vodka,Refreshing,4,23,"Suntory Haku Vodka, Suntory Roku Gin, Suntory Haku Vodka, Suntory Roku Gin, Lillet Blanc, Lemon Peel",['clear'],"['fall', 'spring', 'summer', 'winter']","Add Suntory Haku?? Vodka and Suntory Roku?? Gin and what do you get? A surprisingly complex flavor easily created at home. While most evenings are spent asking ""what are you watching?"" make yours more memorable with ""what are you stirring?"".",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Sazerac,https://www.thecocktailproject.com/Sazerac,"Courvoisier VS Cognac, Simple Syrup, Courvoisier VS Cognac, Simple Syrup, Peychaud's Bitters, Absinthe",Cognac,Sweet,3,19,"Courvoisier VS Cognac, Simple Syrup, Courvoisier VS Cognac, Simple Syrup, Peychaud's Bitters, Absinthe",['brown'],['winter'],"Any evening becomes ""not just any evening"" with a Courvoisier?? cocktail. From the elegant and harmonious tasting notes of a cognac with a fruity and oaky taste, to the unmistakable New Orleans origins, it wont be long before this cocktail has you deciding what to wear just to stay in.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Jim Beam and Ginger Highball,https://www.thecocktailproject.com/drink-recipes/jim-beam-ginger-highball,"Jim Beam Original, Fever-Tree Ginger Ale, Jim Beam Original, Fever-Tree Ginger Ale, Lemon Wedge",Bourbon,,3,32,"Jim Beam Original, Fever-Tree Ginger Ale, Jim Beam Original, Fever-Tree Ginger Ale, Lemon Wedge",['brown'],"['bbq', 'christmas', 'holiday', 'summer']","Nothing complements Jim Beam?? Bourbon like a little ginger, making for a refreshing staple that tastes great in any season. Combine smooth bourbon with zingy ginger ale for an easy cocktail that gives you more time to kick-back on game day. It's almost like you have a bar to yourself.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Midori Pot of Gold,https://www.thecocktailproject.com/drink-recipes/midori-pot-gold,"Pinnacle Original Vodka, Midori Melon Liqueur, Pinnacle Original Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber Slices, Basil Leaves, Soda Water",Cordials,Sour,3,29,"Pinnacle Original Vodka, Midori Melon Liqueur, Pinnacle Original Vodka, Midori Melon Liqueur, Lime Juice, Simple Syrup, Cucumber Slices, Basil Leaves, Soda Water",['green'],,"Why find a pot of gold, when you can put one together? Made with Midori?? and everything green, mixed with ice and splashed with soda water, this will have you unwinding from St. Patrick's Day right in your very own home.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Smoked Maple Old Fashioned,https://www.thecocktailproject.com/Smoked-Maple-Old-Fashioned,"Knob Creek Smoked Maple Bourbon, Bitters, Knob Creek Smoked Maple Bourbon, Bitters, Sugar, Cherries",Bourbon,Sweet,3,69,"Knob Creek Smoked Maple Bourbon, Bitters, Knob Creek Smoked Maple Bourbon, Bitters, Sugar, Cherries",['brown'],"['fall', 'holiday', 'thanksgiving']","The Smoked Maple Old Fashioned lets you cozy up right as the weather is starting to turn. Pick out your favorite blanket as the sugar dissolves. Add the Knob Creek?? Bourbon, fire up your favorite fireplace video, and toast to the leaves turning.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Kentucky Made,https://www.thecocktailproject.com/Kentucky-Made,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Simple Syrup, Fresh Mint Leaves, Cucumber Slices",Bourbon,Sweet,3,40,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Simple Syrup, Fresh Mint Leaves, Cucumber Slices",['yellow'],"['bbq', 'fall', 'spring', 'summer']","Show the Kentucky Made it can be home made. With just a splash of citrus, simple syrup and some Maker's Mark?? Bourbon, look like you belong behind a bar even if it's just the dog watching. Top with a mint sprig or cucumber slice and start a great night in.",NA,NA,NA,citrus,NA,fresh,NA,NA,nocinnamon,mint,lime
Bourbon Renewal,https://www.thecocktailproject.com/Bourbon-Renewal,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, DeKuyper Cr?me de Cassis Liqueur, Simple Syrup, Angostura Bitters",Bourbon,Sweet,3,43,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, DeKuyper Cr????????????????me de Cassis Liqueur, Simple Syrup, Angostura Bitters",['pink'],"['bbq', 'brunch', 'spring', 'summer']",Bring your cocktail-making A-game to the kitchen with this classic plucked from right behind a bar. Add all the ingredients together and refine your shaking technique like a pro. Serve with lemon or blackberries as you take date night to the next level without setting foot out your door.,NA,NA,NA,NA,bitters,NA,NA,NA,nocinnamon,nomint,nolime
Kentucky Buck,https://www.thecocktailproject.com/Kentucky-buck,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, Strawberries, Angostura Bitters, Ginger Beer",Bourbon,Refreshing,3,44,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, Strawberries, Angostura Bitters, Ginger Beer",['pink'],"['bbq', 'spring', 'summer']","Bring some southern-style hospitality to your backyard with the Maker's Mark?? Kentucky Buck. Made with a few select fruits and topped with ginger beer, this refreshing instant crowd-pleaser will signal the start of summer and keep the longer days going.",NA,NA,NA,NA,bitters,NA,NA,NA,nocinnamon,nomint,nolime
Ginger Buck,https://www.thecocktailproject.com/ginger-buck,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Ginger, Simple Syrup, Candied Ginger, Ice",Bourbon,Sweet,3,59,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Basil Hayden's Kentucky Straight Bourbon Whiskey, Lime Juice, Ginger, Simple Syrup, Candied Ginger, Ice",['yellow'],"['bbq', 'brunch', 'fall', 'spring', 'summer']","Show off your cocktail making skills in the sun with the Basil Hayden's?? Ginger Buck. Muddle a bit of ginger here, strain into a rocks glass there, toss in a sprig of rosemary and serve up the star of your outdoor get together.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Hemingway Daiquiri,https://www.thecocktailproject.com/drink-recipes/hemingway-daiquiri,"Cruzan Aged Light Rum, Maraschino Liqueur, Cruzan Aged Light Rum, Maraschino Liqueur, Grapefruit Juice, Lime Juice, Lime Wheel",Rum,Refreshing,3,34,"Cruzan Aged Light Rum, Maraschino Liqueur, Cruzan Aged Light Rum, Maraschino Liqueur, Grapefruit Juice, Lime Juice, Lime Wheel",,"['fall', 'spring', 'winter']","A short story in a glass, the Hemingway Daiquiri tells a refreshing tale. Bring a hint of travel home with Cruzan?? Aged Light Rum and a dose of citrus juice. Find the coupe glasses and shake up this adventure without setting foot outside.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Sparkling Berry Sangria,https://www.thecocktailproject.com/drink-recipes/sparkling-berry-sangria,"Sparkling Ros? Wine, DeKuyper Razzmatazz Schnapps Liqueur, Sparkling Ros? Wine, DeKuyper Razzmatazz Schnapps Liqueur, Lemon Juice, Cranberry Juice, Simple Syrup, Blueberries","Cordials,wine",Sweet,3,34,"Sparkling Ros???????????????? Wine, DeKuyper Razzmatazz Schnapps Liqueur, Sparkling Ros???????????????? Wine, DeKuyper Razzmatazz Schnapps Liqueur, Lemon Juice, Cranberry Juice, Simple Syrup, Blueberries",['red'],"['bbq', 'birthday', 'brunch', 'spring', 'summer', 'valentines-day', 'wedding']","The Sparkling Berry Sangria is the love letter you can mix, pour and serve to those you adore. Mix up a pitcher of ros??, DeKuyper?? Razzmatazz?? liqueur and cranberry juice. Break out the flutes and garnish with lemon wheels, strawberries, raspberries and blueberries.",NA,cranberry,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Tickled Pink,https://www.thecocktailproject.com/drink-recipes/tickled-pink,"Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice, Simple Syrup, Edible Flowers",Vodka,Refreshing,3,64,"Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pomegranate Juice, Lemon Juice, Simple Syrup, Edible Flowers",['pink'],"['birthday', 'brunch', 'spring', 'valentines-day', 'wedding']","The best kind of love leaves you Tickled Pink. A cocktail made with Pinnacle?? Original Vodka, DeKuyper?? Triple Sec and pomegranate juice is a recipe for adoration. Shake with lemon juice and simple syrup. Serve it up when you want to step it up on date night.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
The Berry Thought of You,https://www.thecocktailproject.com/drink-recipes/the-berry-thought-of-you,"Pinnacle Original Vodka, DeKuyper Cr?me de Cassis Liqueur, Pinnacle Original Vodka, DeKuyper Cr?me de Cassis Liqueur, Simple Syrup, Lemon Juice, Soda Water, Thyme Sprig",Vodka,Sweet,3,51,"Pinnacle Original Vodka, DeKuyper Cr????????????????me de Cassis Liqueur, Pinnacle Original Vodka, DeKuyper Cr????????????????me de Cassis Liqueur, Simple Syrup, Lemon Juice, Soda Water, Thyme Sprig",['pink'],"['birthday', 'brunch', 'spring', 'valentines-day', 'wedding']",The Berry Thought of You stirs up just the right mood for any evening. Pinnacle?? Original Vodka and DeKuyper?? Creme de Cassis come together in one tall drink of flavor. Garnish with your berry best and enjoy it with friends or whoever you?Â?re sweet on this Valentine?Â?s Day.,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Strawberry Crush,https://www.thecocktailproject.com/drink-recipes/strawberry-crush,"Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Simple Syrup, Lemon Juice, Strawberries",Tequila,Sweet,3,52,"Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Hornitos Plata Tequila, DeKuyper Pucker Strawberry Schnapps, Simple Syrup, Lemon Juice, Strawberries",['pink'],"['birthday', 'brunch', 'valentines-day', 'wedding']",The Strawberry Crush is more than a fleeting sensation. Start with a bold mix of Hornitos?? Plata Tequila and DeKuyper?? Strawberry Pucker Liqueur. You just might find that this colorful cocktail has your kind of energy.,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Mai Tai,https://www.thecocktailproject.com/drink-recipes/mai-tai,"Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Lime Juice, Orgeat Syrup, Cruzan Black Strap Rum, Lime Wedge",Rum,Refreshing,3,41,"Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Cruzan Aged Dark Rum, DeKuyper Triple Sec Liqueur, Lime Juice, Orgeat Syrup, Cruzan Black Strap Rum, Lime Wedge",['yellow'],"['spring', 'summer', 'tropical']",The Cruzan?? Mai Tai is the perfect way to tinker with your Tiki game. Cruzan?? Aged Dark Rum and DeKuyper?? Triple Sec Liqueur make the perfect companions for a relaxing occasion. Float a splash of Cruzan?? Blackstrap Rum on top and find yourself among friends.,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Don Francisco Margarita,https://www.thecocktailproject.com/drink-recipes/don-francisco-margarita,"Hornitos Plata Tequila, Orange Juice, Hornitos Plata Tequila, Orange Juice, Lime Juice, Honey Syrup, Salt and Chili Powder (for rim), Edible Marigold",Tequila,Sweet,0,0,"Hornitos Plata Tequila, Orange Juice, Hornitos Plata Tequila, Orange Juice, Lime Juice, Honey Syrup, Salt and Chili Powder (for rim), Edible Marigold",['orange'],"['bbq', 'birthday', 'spring', 'summer']",,orange,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Hornitos Paloma,https://www.thecocktailproject.com/drink-recipes/hornitos-paloma,"Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Grapefruit Wedge",Tequila,Refreshing,3,50,"Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Hornitos Plata Tequila, Fever-Tree Pink Grapefruit, Grapefruit Wedge",['red'],"['bbq', 'christmas', 'holiday', 'summer']","Try this refreshing paloma using smooth Hornitos?? Plata tequila and Fever-Tree Pink Grapefruit. Add a grapefruit garnish for an extra flourish, and you?Â?ve got a light, refreshing, and just a little bit fruity cocktail perfect for any occasion.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Pinnacle Raspberry Lemonade,https://www.thecocktailproject.com/drink-recipes/pinnacle-raspberry-lemonade,"Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Lemonade, Lemon Wheel",Vodka,Fruity,3,36,"Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Lemonade, Lemon Wheel",['pink'],['summer'],"Most cocktails don't need fireworks. Pinnacle?? Original Vodka forms the foundation to this simple, but distinct and fruity number. Stir up and serve from couch and coffee table, to celebration and more. Look up what a lemon wheel is, because it's about to be your garnish.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
"Cruzan
Spiced Apple Cider",https://www.thecocktailproject.com/drink-recipes/spiced-apple-cider,"Honey, Honey, Orange Juice, Apple Cider, Allspice",Rum,Sweet,3,43,"Honey, Honey, Orange Juice, Apple Cider, Allspice",['red'],"['fall', 'halloween', 'holiday', 'winter']","All you need this fall is a heatproof mug and a sweeter, curious palette. Between the rum, honey, tangy orange juice and hot cider, you'll find a new appreciation for cocktail making and the perfect recipe to break out on a cozy day.",orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
CV The French Twist,https://www.thecocktailproject.com/drink-recipes/cv-french-twist,"Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Simple Syrup, Lemon Juice, Soda Water, Raspberries",Cognac,Sweet,3,33,"Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Simple Syrup, Lemon Juice, Soda Water, Raspberries",['yellow'],['brunch'],"Bring a richer brunch cocktail into your home. The Courvoisier?? French Twist requires nothing more than the right ingredients, the right ice, and the right time of day to enjoy.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Cruzan Cider Punch,https://www.thecocktailproject.com/drink-recipes/cruzan-cider-punch,"Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Orange Juice, Spiced syrup*, Apple Slices",Rum,Sweet,3,29,"Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Orange Juice, Spiced syrup*, Apple Slices",['red'],"['fall', 'halloween', 'holiday', 'winter']","There are few better places for Cruzan?? Aged Dark than a cider punch on a fall day. With a little help from a few cups of cider, some orange juice, and cinnamon sticks, the changing seasons will be coming to your kitchen before the first leaves drop. Serves many friends, roommates and soon to be friendly neighbors.",orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Sipsmith Negroni,https://www.thecocktailproject.com/drink-recipes/sipsmith-negroni,"Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth, Campari, Orange Peel, Using Fresh Citrus",Gin,Sweet,3,48,"Sipsmith London Dry Gin, Sweet Vermouth, Sipsmith London Dry Gin, Sweet Vermouth, Campari, Orange Peel, Using Fresh Citrus",['red'],"['fall', 'winter']","Often described as the perfect cocktail, don't let this superlative intimidate you. With the right mix of Sipsmith?? London Dry Gin, Sweet Vermouth and Campari?? you can practice, which apparently makes perfect.",NA,NA,NA,NA,NA,fresh,NA,NA,nocinnamon,nomint,nolime
CC Ginger Ale,https://www.thecocktailproject.com/drink-recipes/canadian-club-ginger-ale,"Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Lime Wedge",Canadian Whisky,Refreshing,3,33,"Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Canadian Club 1858 Whisky, Fever-Tree Ginger Ale, Lime Wedge",['brown'],"['bbq', 'christmas', 'holiday', 'summer']","The C.C.?? and Ginger Ale is a timeless go-to that needs no introduction. Smooth Canadian whisky meets snappy Fever-Tree Ginger Ale for a surefire hit that's easy to serve for larger groups, no matter the season. Mix individually or batch in a pitcher for friends and family.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Bruxo Mezcal Mule,https://www.thecocktailproject.com/drink-recipes/bruxo-mezcal-mule,"Bruxo X Mezcal, Fever-Tree Ginger Beer, Bruxo X Mezcal, Fever-Tree Ginger Beer, Lime Wedge",Mezcal,Refreshing,3,20,"Bruxo X Mezcal, Fever-Tree Ginger Beer, Bruxo X Mezcal, Fever-Tree Ginger Beer, Lime Wedge",['clear'],"['bbq', 'christmas', 'holiday', 'summer']","For a mouth-watering mule, don't overlook the mezcal. Try Bruxo?? X Mezcal paired with Fever-Tree Ginger Beer and a lime wedge to liven up a delicious classic. Just make sure your guests enjoy it ice-cold.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
